benefitsReview,binary_sentiment
"This cream was very beneficial for the treatment of acne and some blemishes.  I had many pimples around my mouth after getting waxied there and nothing was helping.  Further as soon as one pimple went away another formed.  This cream began to work within several days.  I could tell that the pimples were getting lighter and new pimples that were forming would hardly enlarge because I applied the cream as soon as I saw a new one forming, many of them disappeared without even leaving a blemish affterwards.",positive
I assume this birth control prevented pregnancy effectively. My boyfriend and I used it as a back up.,negative
Small pill easy to take.  Easy to pack in a travel pack in an alternate pill case without taking the entire bottle.,positive
"Within a couple of weeks, intrusive thoughts of suicide abated.  Over the next few weeks mood lifted some.  At the time I started I was desperate & hopeless was quite surprised it helped as much as it did without usual side ffects of anti depressants-sexual sidew effects & weight gain.  Didn't cure depression but definitely helped severe suicidality.  And I'm against anti-depressants as 1st run for treating mood disorders but there is a place for them when exercise, sprirtual practice, good nutrition & life balance not enough-but these life practices absolutely indispensible for any health issue esp. Mood disorders.",positive
"Wellbutrin and Prozac stabilized my moods and kept me from slipping into depression. There really wasn't anything more to it, but I gather I have to write 50 words, so here they are.",positive
"Remeron (mertazapine) was a god send for me. I had chronic insomnia with sleep deprivation for 12 years and tried to treat it with OTC drugs. It appeared one night, not slowly over time. I tried several meds without success before my doctor suggested Remeron. It took a few weeks to take effect but it has been 100% successful for about 17 years now. I used to take up to 45 mg. at bedtime but have ratcheted it down to 15 mg. over the years. If I miss one dose I know it. Falling asleep is no problem. My problem is staying asleep for more than 2 or 3 hours night after night after night. . . Not fun.",positive
A considerable decline in the occurrence of new spots accompanied treatment. The acne has been practically eliminated if a good cleansing routine is maintained. Red marks have faded. Blackheads have cleared up. The overall result is clearer and smoother skin.,positive
Eventual Acne reduction.,positive
regulated bladder control to allow patient (me) to return to a regular life and not have to modify all movements by where the nearest bathroon is located.,positive
"my acne cleared up within a few months, and now it is gone.",positive
"After about a week, I started to see a small reduction in the size of the fluid-filled cysts behind my knees.  Over the 3-week treatment period, there was about a 25 percent reduction in the size of the cysts. There was also a mild reduction in the pain associated with the cysts. 

Another benefit was that I did not get upper GI pain & bleeding with this med, whereas NSAIDs had been causing black stools due to GI irritation & bleeding.",negative
"for vaginal bacteria with foul smell, I dont know if the treatment is effective it is only 2 days but then I started yo have to side effects",negative
"decreased inflammation of cervical spinal column, increased motion of cervical spinal column, decreased pain in other joints, decrease in neck pain, etc.",positive
"the benefits foe the pain was good, it helped the constant pain i was having in my muscles and the over all aching",positive
It really help me to cope with the anxiety,positive
With the valtrex I was treat coldsores only and could aviod break outs yr long. If i stopped I was garenteed to get one,positive
"Definitely noticed right away that I had more energy, better concentration and motivation, and could actually focus for the first time in years. By taking this med, it caused a chain reaction that got my life moving forward again: I started by becoming able to get out of bed and get things done around the house. Had more motivation to help myself in other ways - better nutrition, better exercise, self care, etc. Then my body and mind began to kick in and heal itself more. Now the med simply acts as a support for me, but I am ready to start tapering down my dose!!!",positive
"none, only took one pill and found that the side effects do not warrant continued use.",negative
Benefits were intended to be no facial acne,negative
"I experienced a some evening of skin tone, somewhat smaller pores and very slight improvement in crowes feet",negative
"Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer, more like my old self.",positive
It was fairly successful for the acne.  I found it especially good at spot treatment if I felt a cystic type coming up.,positive
"singulair dramatically reduced coughing spells and allergy symptoms, but if just one treatment was missed the allergy symptoms reaccured.",positive
"The benefits were that once I started taking it, I became less emotional when I got upset.  I could handle the small things better than before, which used to set me off.  It evened out my moods so that I was less tempermental.",positive
"There really weren't any - I didn't feel any better as the stressors in my life were still there.  I did not feel any relief from the depression, as a matter of fact, I felt worse.",negative
"Did improve my appetite, which was suffering as a result of the depression.",negative
I had deepening frown lines on my forehead and between my eyes....the benefits were a decrease of the lines (wrinkles).,positive
Long lasting erection,positive
"Cleared up the infection but any number of other drugs would have done just as well, without the awful side effects.",negative
"relief of depression, ""floor"" under worst moods, increased confidence, less sadness. Allowed patient to function normally in work and social situations",positive
very effectively reduced my blood pressure to a good level and has amitianed it for the 2+ years I have been taking it.,positive
"Within days, the acne disappeared. When taken continuously for 3-5 months at a time, the acne never reappeared and the hirsutism decreased substantially.  We then added laser hair removal and stopped the spironolactone.",positive
"the treatment benefits were reducing acne, helping me to have a more clear complexion.  Also it GREATLY reduced my cramps.  And, to this day, I am not pregnant :)  The benefits of this ""pill"" were far greater than any others I have tried, and I have tried several different brands.",positive
"Decreased blood pressure, decreased cardiac load, decreased kidney load",positive
I experienced Xannax more effective for anxiety and panic attacks.,positive
Retin-a provided the benefits of reducing sun damage of the skin. It reduced some fine wrinkles and helped with uneven skin.,positive
significant supression of allergy symptoms with the exception of the eyes.,positive
"I was experiencing a lot of hot flashes and I think they have subsided in frequency, duration and intensity since starting to take the Lexapro.",positive
"I have been suffering from ulceratibe colitis for the past three years, was put on steroids long term, then pentasa granules, then imuran which i had a severe reaction too then cellecept tablets which i had a reaction too also. This drug infliximab is given over two hours into a vein then you are monitored for side effects for approx an hour. My severe pain, feeling of passing out, unable to do a bowel motion without feeling like i am going to die is gone.",positive
"I was prescribed Prempro by my OB/GYN for hot flashes. I took one pill a day for over a year. I wento off the Prempro for 3 months and the hot flashes came back, seemed worse than before. I am now back on and have taken 4 days, hot flashes are beginning to get better and hopefully will completely disappear soon!",positive
Quickly helped with depression and nearly eliminated pain soon after starting.  Effects lasted for roughly four months.,positive
It did help with the red blotchy skin that the rosacea was causing and the heat that I would feel when the rosacea would kick in. It also helped with pimples and welts that would sometimes come on during a bought of the rosacea.,positive
I had taken avalox several times before because I had become immune to other antibiotics.  Avalox seemed to work previously.,negative
there was none.,negative
"I did not have any other conditions.  Just an inability to focus, hyperactivity, and impulsive behavior.  I had a hard time staying organized and difficulty completing tasks.  I also had difficulty staying with one job for too long.  I had a hard time sustaining reading without getting really tired, and I also had a hard time controlling my emotional outbursts.  The  Concerta really helped me control all of those things.",positive
Hair loss all but stopped - kept crown area full.,positive
"instantly i felt relieved. i am able to stand back a bit from things that would previously really upset me. i am therefore able not to let things get to me,fantastic. so now i don't  explode instantly in anger at things anymore, i tried to think myself calm and non reactive previously but it did not work. with zoloft i have a calmness when meeting things that would normally make me enraged .i have time and mental space to be rational and realistic and can choose a sane quiet and dignified response, not aggression and anger. hallelujah.",positive
"None, presum,ably b/c I had to quit taking the drug before the prescription was completed due to side effects/ possible allergic reaction.",negative
Cleared up smaller papules/pustules and noticeably reduced facial redness. Did nothing for my cystic acne and blackheads.,positive
"This was a the easiest birth control that I have ever used, I like the idea of worring about it only once a week",positive
Did not take it long enough for any noticeable benefit.,negative
"Through use of the drug and the side effects its produced, I was made much more aware of the level of fat I was consuming with my meals and took measures to reduce the intake",positive
Singulair seemed to work well at controlling my allergies. I the beginning I didn't notice any side effects.,negative
"The drug has a very long half life and because of that property there is a long, smooth sustained effect of the drug. I did not feel highs or lows and hardly knew I was taking it except it helped my anxiety.",positive
Seemed to ease allergic rhinitis symptoms caused by seasonal allergies.  Easy administration was a great benefit.,positive
"The sores became much less painful very soon, on the 2nd day. Overall, the healing was much faster, and there were only two pills a day to take (not 2 x 3 times a day, like with old-times Acyclovir), which was convenient",positive
"Woke up feeling a little less like a zombie, No more insomia.",positive
Needed to replace natural tyroid hormones,positive
"none except....slowed heart rate. My afib was NOT diminished, but I assume the drug was helping keep my heart rate when in Afib down somewhat",negative
Dr recomended this for a cold. The traditional decongestants and anti-histimnies had not worked and I was not aware that this allergy medication would have been so effective.,positive
"Oxybutynin Chloride reduced my urinary urgency by lessening my bladder spasms, and reduced my urinary frequency, decreasing the number of times I needed to use the bathroom during the day. It also eliminated the need for me to have to get out of bed to void during night.",positive
i believe the medication did assist with depression. By the end of the six month most symptons of depression were gone,positive
Relief and cure of UTI,positive
"I felt like I was in a deep dark hole for most of my life, almost immediately after starting the medication I felt like a different human being! I noticed colours for the first time in years and I couldn't stop looking at the beautiful sky, grass and flowers. I felt alive, energetic, happy and positive, For the first time in years I wanted to get up in the mornings and LIVE. I wanted to go out in the world again, where as before I hid in my house because of panic attacks. I landscaped my whole garden and when that was done, I decided I wanted to work again and found a job. My marriage flourished after this new me and I fell pregnant 6 months later, at which time I had to discontinue, but that 6 months of Prozac was all it took to give me a new life.",positive
migraine pain relieved in 1 - 2 hours and lasted for 24 hours with 1 tablet,positive
solved my depression and helped me have an overall better outlook on life.,positive
"After only three days of treatment my partner noticed a reduction in the hyperpigmentation, it took me about a month to notice these effects. Having used tretinoin now for two months the crepiness under my eyes is greatly reduced, there is undoubtedly a marked improvement in the texture of my skin and the hyperpigmentation is getting better every day.",positive
"Oxycodone helped take the major edge off of pain so I could rest. However, it made me so drowsy and felt ""out of it"" that I would switch to Ibuprofen.",positive
mildly increased attentiveness,negative
"Prevented pregnancy, completely cleared up my (moderate) acne.",negative
treatment benefits include migrain pain subsiding in about 20 minutes.  No lingering fuzziness from taking this medication.  Did not make me sleepy. If migrain pain appeared hours later another dose taken.  This drug is especially handy for anyone with pre-menstural migrain headaches,positive
help with pigmentation on the face. acne scar visibly reduced but not all gone.,positive
"I was able to walk (although I should not have)and drive in total comfort. All the pain was aleviated throughout the period of time i was taking the tablets. I felt in full control of all of my senses, even though i was a little more relaxed than normal.",positive
"Within 30 minutes for injections to 2 hours for caplets I was pain free and functional.

I had gone camping and run out of Imitrex.  I was in pain for about 14 hours when I was taken to a little emergency clinic. They gave me an injection of 50 miligrams and in about 15 minutes I was pain free and feeling normal.",positive
Felt 'normal' rather than in a state of panic and anxiety. Thoughts were clearer and not racing. Felt calm and peaceful.,positive
"calming effect, helped with sleep, helped with concentration, reduced appetite, improved depressive symptoms",positive
"After taking Adderall XR for about a year, my doctor switched me to Vyvanse.  Vyvanse not only helps me focus and take away the symptoms of ADHD that I was experiencing, but it does so for about 12 hours.  With Adderall XR, the effects lasted only a few hours, and I experienced a crash after the effects wore off and I instantly because extremely cranky and irratable.  With Adderall XR, I also lost the desire to eat.  I am hungry with Vyvanse, and do have the desire to eat.  With Vyvanse, I do not feel the crash at the end of the day, and I do not experience any moodiness.  I am very please with this drug, and it has changed my life for the better.  I have reccommended it to other family members with the same problems that I have and they have shared with me similar success stories.",positive
"In the case of a panic attack, this would soothe the anxiety and calm me down-a numbing sensation--a highly effective anti-psychotic in several situations--kept a low-level feeling of calmness and barrier to anxiety/stress",positive
much lower cholesterol,positive
lowered lipid levesl,positive
"Botox was administered to help reduce the lines appearing on my forehead and at the outer side of my eyes- crows feet.  The 100 and 50 unit injections were effective in reducing the lines for a period of about 5 months, but there were noticeable adverse reactions with the 100 units.  The 50 units were as effective but without the spasms noted under Treatment Details.  OF the 2 times 50 units were injected,  the last time the botox had been reconstituted for more than the recommended 4 hours.  There was concern of effectiveness, but actually it seems as though the botox was more quickly effective, and seemed more effective in reducing the lines that the previous 50 unit injection.  More detail is covered under the treatment details.",positive
"Hello all !
Through the past two years I was diagnosed with Shuermann's Kyphosis, a degenerative back disease in the lower spinal column. Throughout the past two years I have been on and off intensive narcotic pain killers, Ie. Vicodin ES,Percocet,MS Contin etc.. I knew enough was enough, so like that I stopped taking them. I have no side effects whatsoever. I have been through and still ongoing physical therapy ( 4th session 1 session is 3 weeks ) and been too four Orthopedic doctors and spinal specialists. My doctor and I discussed a long term pain application to get me off taking narcotics. I am no pro, but I know that opiates are the best for bad chronic pain, which i experience every day in my life. My doctor and I talked about Cymbalta which can be used to tone down the pain level sensors in the brain so I am not experiencing so much pain. I also have high levels of depression, and anxiety. Recently my Aunt and Uncle passed away which they practically raised me when I was born in Ireland, and my Sister's deaths was even more of a add on. I felt myself slipping into a deep black hole, and was looking for cheap thrills just to keep myself from going crazy ( literally ). Anyways, it has been my third day on this prescription, and I feel like a new person. I find myself enjoying simplistic things, and taking initiative in my life to pursue my goals and education. I am currently unemployed and as a young adult it is very hard to maintain money flow with no job. I am enrolled and taking college courses which I have 2 more semesters left before I receive my degree. In one of my classes (Chemistry) We are assigned a Science experiment. Mine, will be for depression and pain levels which will I am using Cymbalta. I recorded myself for two weeks, and then the first day after each dose of the drug. I am feeling alive, and that classical person everyone enjoys being around. I have read a lot about this drug and how it fails or makes situations worse. But for me it is working, and I am consistent in my daily routine. I shall continue to document all of my feelings and side effects from this prescription.",positive
None. The Cipro appeared not to work for my skin infection.,negative
had been converned abvout hair loss for several years (i think when i stopped taking birth control pills!)  so thought it was hormonal.   Hormones didn't help.   The armour did reduce hair loss,positive
"The first few days I felt ""happier""",negative
"I do still see reduction in the papules but the redness is still there. In fact, I am wondering if I am developing an immunity because the redness seems to be worsening. Also my skin seems to be getting more sensitive n general.",positive
"I could breathe, and if I took it before exercise, I wouldn't need it during.",positive
Very quck and long lasting erection. Have been able to have sexual intercorse for 2-3 days no problem. That also had a psychological effect of easing anxiety.,positive
"controls asthma by controling my allergies.  The allergies subsided and my ashtma does not kick in I have allergic onset asthma , typically caused by pert dander or huge climate changes .  Like going from the South texas area where I live to Oklahoma in the winter when its cold there",positive
"I began to notice the positive benefits within a few weeks.  My mood brightened, I stopped feeling grief and self-loathing, began to remember what I liked to do. I also had increased ability to concentrate, increased energy, increased sex drive.   I was no longer depressed.  I stopped taking the medication after a couple of years, and the symptoms of depression did not return.",positive
"It itnitially helped a great deal. The first 2 days I slept and I felt really good for a change. My aches and pains seemed to vanish. I had energy and felt motivated. My ""quick to aggravate"" temperment diminished as well.",positive
"helped anxiety & black moods, headaches.  Made my life a happier place to be in, especially for my family.  Have had great results with lexapro with only minimal side effects such as a small weight gain.",positive
"My rosacia and acne were improved 60% by the drug but I believe that the Murad Skin Care line for acne helped more than the drug.  I used both daily, first the drug for 3 mo. then the Murad for 3 mo.  The Murad appeared to help more without any negative side effects. My skin on the drug was very sensitive to sunlight but not with the Murad treatment.",positive
The drug was to prevent further infections which were starting to scar the kidneys. After taking the drug my daughter did not have any more infections. it was a low level dose and did not seem to affect her in any way e.g causing digestive problems.,positive
"We aren't sure.  We wonder if it is really controlling the seizures at all.  We are hoping our daughter can get testing to determine if her seizures are catamenial in nature.  She was on carbatrol with complete control, but was switched to Keppra due to her upcoming marriage (much lower risk of birth defects and ability to use birth control pills while on it).  She was completely weaned off of Carbatrol at one point and went almost 8 weeks with no seizure activity.  She also went 5-1/2 months with no seizure activity with Keppra before having a tonic clonic seizure.  Due to her history of seizures (started at the age of 14 a couple of months after she started her period), and the ability to go for long periods of time without problems, we wonder if she is having extreme spikes in estrogen when she ovulates from time to time. We hope that our neurologist will work with an endocrinologist and gynocologist to see if there is some validity to our theory.  The goal is to get her back under complete control.",positive
made my daughter less anxious,positive
"Greater focus, stronger commitment, lessened stress, improved self-confidence, goal setting, less depressed, better organization and memory (as in remembering events), clearer in thought and expression thereof.",positive
"The viral load count was reduced from millions to less than a hundred within 9 months. Though the virus cannot be completely removed, reduction in number helped my physiological health in addition to the physical. I've been continuing taking the drugs, and would likely continue until 2 years.",positive
Extreme urticaria (hives) on forearms and mild (hives) on face and legs were near completely cured with the Zantac.,positive
My stomach aches went away. I wasn't as nauseated as I would have been without anything.,positive
Significantly decreased depression and anxiety. More effective than Lexapro which was also taken prior by patient. Definitely a more effective product.,positive
"Stabalized mood, decreased fatigue, better outlook on life.",positive
Completely cleared resistant adult cystic acne that had not responded to any topical meds or to Accutane.,positive
"Increased alertness  throughout the day with increased sleep quality. I still have to take naps in my car on some days, but overall this medicine is working great for me.",positive
reduction of daily muscle tension headaches to about one headache every 6-7 days with decreased severity,positive
reduced acne,positive
"Blood pressure numbers decreased significantly. Had headaches in the past, most likely due to high blood pressure - no longer having any problems with headaches.",positive
"None at all; my acne went from mild to severe. I woke up everyday with big new, painful whiteheads. Each time a group of pimples went away, several new ones formed immediately. I also have oily skin, and I read that Retin-A rapidly reduces oil; my skin is just as oily as the day I started and my acne is as bad as when I was a teenager.",negative
Strong erections,positive
I took the Keflex before my dental apppointment because of Mitral Valve Prolapse.  I did not get a heart infection.,negative
"Clear appearance of skin, decreased pimples and cysts, it took one month for the medication to start working and had moderate effects",positive
"Hair came back from a thinning status and a visible scalp through the hair to a much thicker condition with little visible scalp through the hair..
confidence back. i no longer look older than i feel and think my overall esteem has been improved",positive
"It has the effect of major Reduction in anxiety, it produces alot of calmness, able to function properly, they pills cured insomnia, it made me get less sever panic attacks, reduction and or elimination of panic attacks, it improveded mood.It was the best drug for panic attacks",positive
able to think more clearly and remember things and not so depressed. could function more stable -- began to get more done like in years past. the night sweats from pre menapausal symptoms seemed to go away almost totally; it gave me more hope and not so effected by negative circumstances. I was able to move on with life and function like a normal person,positive
"I noticed significant smoothing and softening of lines on face, lightening of uneven coloring, reduction of frequency of blemishes, reduction in oiliness of skin and some tightening of the tissues of the facial skin.  I would hope that the effects are long-lasting, but I have only used it for 2 months now.",positive
relief,positive
"relieved depressive symptoms; not as weepy or anxious, did NOT interfere with libido/sexual performance; slight decrease in appetite (pt liked wt loss)",positive
The Ibuprofen helped relieve pain and swelling from the sprained ankle. It lowered the amount of time it took to heal the ankle and also provided lasting relief from discomfort caused by swelling and pain. Swelling was substantially lowered after a week period and steps were taken to allow the ankle to regain flexibility due to subsiding of pain.,positive
lower blood pressure in combination with Hyzaar,positive
I first tried ibuprofen 800 mg with very little results other than upset stomach between epidural treatments (3) i,positive
"The hair loss stopped in 2 weeks, I am almost even sure that I have growth again on the area where I lost hairs. The effect were visble really quickly and I do not see any sort side effects as of now.",positive
"Having had severe TPM symptoms for many years, I asked my doctor for Fluoxetine. The benefits were a total feeling of ""well-being"". Without the extreme ""high"" feeling of anfetamines (taken before as part of a supervised diet regimen). High decrease on anxiety. Appetite more controled. Clearness of my thoughts. Decrease on crisis of depression (specially during the days previous to my periods). More ""energy"" during the day to the daily things.. decrease on obsessive compulsive (mild) disorder",positive
"I have a bad case of Crohn's disease.  Mine is fibrostenotic crohn's.  I had a stricture that was causing my pain, but severe bathroom visits.  The stricture was fixed with surgery.  The frequency of the bathroom visits is lessend with Remicade.  It helps within 1 to 1 1/2 weeks.  The only bad thing is that I find myself needing it desparately at 7 weeks.  I suffer for 2 weeks then until I can get it and let it start working again.",positive
"Prevention of blood clot formation after angiogram. The angiogram was required as the patient (myself) has a calcium score of about 4000 (extremely high) and had  complained of minor episodes of intermittent weakness in the hands and feet. The angiogram revealed a number of partial arterial blockages being treated first with Lipitor and currently with Crestor, niacin and aspirin.",positive
"anxiety and nervousnees diappeared. was able to engage in social activities with no fear.was mor functional on the job, procrastination and econd guessing myself was to a minimal. low self esteem was elevated , did not have such a poor view of myself. i felt calm and confident",negative
recoverd from loose motions. nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks nothing more to add. thanks,positive
headache stopped,positive
"Seroquel knocks you out, but for me it takes about 2 hours to start working. I take it about 2.5 hours before I actually want to get to sleep, and it lulls me into a very deep sleep. I rarely remember dreams. Seroquel has an amazing ability to erase memories of the day before, which for me is usually a good thing. Highly recommended for people with severe insomnia and/or rapid mood swings.",positive
"Primarily, my son was much better able to focus, control his impulsivity and, as a result, did better in school.  Our house became a much more peaceful place once he was better able to control his temper, which largely came from his frustration in knowing he was not doing as well as he could.",positive
"less irritability, slept better. Was less hungry.",positive
"pain relief, which gave me energy to get through the day and able to work",positive
"Marked reduction in redness & flushing and complete elimination of pustules.  Ease of use over creams, etc.",positive
"The treatment benefits were marginal at best.  Mood neither improved nor deteriorated, and anxiety was never significantly alleviated.  Unsurprisingly, recent research suggests that SSRIs are only effective in the most severe of cases.",positive
"My acne has completely dminished...i have the occasional break-out, but on a an everyday consistent basis i am now acne-free due to Retin-A!  It helps to take a break while using it because your skin will become used to it, however after a few weeks off, the effects are just as wondederful to your skin as when you first began.",positive
"I landed in a West African hospital with my insides coming out and suffering from the worst stomach pain as a result of (probably) eating bad food. I vomited for 12 hours until I got the drip and then I was okay for the next couple days in the hospital (although the stomach pains remained).

Cipro is also the god of beating Urinary tract infections: I've taken both a 3 and 5 day course, and its been effective instantly.",positive
I did not experience any benefits after one week of usage.  I chose to discontinue the treatment.,negative
"Treatment cleared the complexion from acne breakout and eliminated the redness/residual under the skin.  This drug had an almost immediate effect on the facial and back areas of the patient.  If the patient stopped taking the minocycline, the acne almost immediately returned.  It kept the bacteria at bay while on the medication.",positive
Lunesta helped me sleep the first few times I took them and gave me 5-6 hours of sleep without waking up every hour (like I normally do without taking it).,negative
None really.  At the beginning it did relieve the pain and helped me to sleep.,negative
"I did not experience the ""brain-fog"" that I did with Celexa. I felt great after the first couple of days - relieved the depression immensely.",positive
"Mood more level. My speech is slower, not as pressured. I tend to listen better. I feel more ""chill"", though I still do experience free floating anxiety. My mood is significantly improved, but the anxiety, while lower, is the most stubborn of the symptoms.",positive
"There were no treatment benefits from this particular drug.   My nausea was not controlled at all, in fact I felt more nauseaus after taking the medication.",negative
The bone mass in my spine improved.   One hip was stable and one had lower bone density,negative
"The benefits are helping to control my cystic acne. I used to have very painful acne cysts that caused major scarring on my cheeks and chin. I did use accutane for about 4 months to clear it up. However, I still breakout. Not with cysts but smaller pimples. They seem to form in a cluster in certain areas. I have tried all kinds of topical as well as oral medication to keep these breakouts at bay. Spironolactone has pretty much helped reduce the breakouts to almost non existant. My face is also less oily.",positive
I became a happier person and felt like living and being active again. I was a better mother and wife. I could focus and was not lethargic or sad.,positive
"Lessened anxiety,brought about more attention",positive
getting rid of plaque and the redness and itchiness and the ugly sight of it. being able to wear short sleeve shirts in the summer,positive
"Reduce anxiety and panic. Able to ride subways and go into
crowded areas without fear of panic attack
flying is now much easier because the fair of having a 
panic attack is not there",positive
"Since I've started the treatment, my tension has stabilized. I've monitored it quite frequently after beginning the treatment to see assess the progress. It seems to also have an impact on my ability to maintain a lower blood pressure than before during physical activities.",positive
"TSH numbers brought down to normal levels, seemed to improve constipation, dry skin and cold intolerance",negative
My blood sugar is under control. I went from an A1c of over 8.0 to an A1c of 5.3 over the course of treatment. This medication has had minimal side effects and I developed a tolerance to the side effects in a short period of time- about 30 days. This medication is easy to take and doesn't dissolve on your tongue thus avoiding a bitter pill taste. In its generic form this medication is quite affordable.,positive
"to be honest, I am uncertain yet. I believe it will take months to see results",positive
"TSH went up to 51 when put on low dose of natural thyroid. Doing better on synthroid rather than generic brand.  Still have fatigue, memory, weight loss problems.  I believe there are things that the blood tests do not show. Not freezing anymore.",positive
lowered blood pressure,positive
After the first few DAYS my anxiety was greatly reduced. I felt less depressed and did not feel prone to panic attacks that I had been having prior to starting this medication. I was very pleased with the reduced anxiety and depression.,positive
"This works very well for mild to moderate pain, usually caused by over-exertion, and charaterized by muscle soreness, spasms, cramps, tightness",positive
"My hair loss that I was experiencing stopped completely in it's tracks, and I actually grew back some hair at the crown of my head.  Every individual to whom I've recommended the drug has had at least their hair loss stop.  I'm a complete cynic and consider this a wonder drug. Once you start taking it (and if you continue to take it for the rest of your life- hey, that's science, man) you will keep all the hair you have from that moment on.",positive
There were not any benefits.  Galderma changed metrogel and the new formula didn't agree with my skin.,negative
"The oral disintegrating formulation of zofran is very easy to take, especially
in cases of severe nausea.",positive
"None. though suffering terrible pain from shingles, this drug cause a severe adverse reaction and necessitated calling an ambulance. It created sever pain in another site entirely, so effectively doubled my trouble.",negative
"The medicine was taken to prevent infection since a hole was drilled to drain the gathered blood and release pressure on my nail bed.  As a result, I am in the process of regrowing a healthy nail.",positive
"To minimize manic depression, patient was having problems at work, can't sleep well, this drug helped to calm patient down, becoming more relaxed, able to deal with normal work load.",negative
"No benefits, only very bad side effects (see below)",negative
I find Adderall compared to other ADD meds to work most efficiently to help me focus and give me drive and motivation to stay on task without the jitters found in some ADD meds. Helps control anxiety,positive
"better mood, loss of appetite,weight reduction. Lost 14lbs. in 2 months.",positive
"Fingers didn't turn white for as long or as often as they used to.  However, my fingers are still a shade of blue, and hands are still cold.  My face still changes colors throughout the day, from pale, to blue, to red.  It helped, but not enough.  The doctor has prescribed 30mg Nifedipine to see if that works better.",positive
"Since my hypothyroidism is being better treated I rarely get a migraine anymore. I get one every couple of months or so. I have to say that I sort of dread taking the Imitrex because I do experience several side effects, but it usually gets rid of the headache so it winds up being a catch 22. I really hate the muscle aches and weird tight feeling in my head and face. The increase in heart rate can freak me out too, especially if my thyroid meds have just been bumped up too.",positive
complete improvement in flat sad affect.  Felt depression completely lift by the end of four weeks.,positive
"continuation of hormone replacement after stopping birth control pills
No hot flashes or night sweats.",positive
"Cured ingrown toenails, straighter growing nails, whiter, clearer nails.",positive
"I felt the cream was helpful.  Once the intitial effects were seen, they seemed to level out.  I used the cream nightly as I did not wear it during the day.  My skin felt smooth and soft after the first week.",positive
"This ia a life altering medication for me.  I get occaisional migraines due to hormonal changes, allergy and weather changes.  This medication stops a severe headache and it rarely returns.  It works within about an hour.  It stops a migraine that may last for two days at times.  I am not a big fan of taking medications but this one is a miracle drug.",positive
"Within 3 weeks I noticed a ""lifting "" of mood and a general sense of being more energized and interested in everyday activities. I was far less concerned about things which had previously worried me and felt more enabled to engage in social activities again.",positive
"The benefits of taking this drug were a slow down in mpb (male pattern baldness). I noticed that less hairs in the M shape were falling out. It also regrew some of the hair that was lost for several years ago in the crown area. I also noticed that thin, weak hairs regrew stronger and thicker.",positive
both seem to work well but looking for something over the counter that helps sleeping so i dont have to take the prescription med. to sleep. it is too expensive. it also would  take a hour or so for it to work. then if i woke up later i had to take another one to go back to sleep. so i am trying to find a good over the counter sleep medicine to take instead.,positive
some control of partial seizures- they decreased from 3-4/wk to 1-2/mo,positive
Eliminated severe pain post surgery,negative
Most of the pain was alleviated even though I continued to run daily.    Some returned when I stopped the drug.,positive
the pain in my tooth started to subside,positive
"a reduction in the amount of panic attacks i suffered, and more control over the ones i do have, a general lightening of moods and outlook. my IBS symptoms appear reduced.",positive
"The benefits were numerous, I don't have panic attcks for the first time in 20 yrs, and if I do, they are less than 20 seconds.  I haven't had a mixed state or very rapid cycling since getting on it 2 years ago.  These symptoms continued to get more severe until I got on this drug.  Every episode was worse and lasted longer.  This drug gave me my life back.  I lost my job(s) and wound up in psychiatric inpatient care.  But I have become steadily better since first taking the drug.  I have to admit, to get to the point I'm at now took 2 years, but it's better then I was, and it's better than not getting better at all.  The longer I'm on Seroquel, the better I feel.  Also, I am able to sleep because of Seroquel.  At the worst when I went into the hospital I couldn't sleep at all which was making my episode even worse.  Sleeping drugs and benzodiazepines such as valium that were given to me made me feel horrible, very tired the next day, and even made me panic.  Anticonvulsants and even other psychotics gave me panic attacks, made me antsy or made me so tired I couldn't even function in day to day life.  Seroquel doesn't make me real tired, but it  has made a sleep schedule possible again.  I also don't feel too tired in the morning.",positive
It did lower my BP some,positive
"After a few weeks my skin started to clear up and look my younger and clearer.  I did experience some tightening in my skin and dryness.  Also, I was instructed not to apply any moisturizer to my t-zone since that is my problem ares.",positive
"If I have a classical migraine, I cannot function without taking an Imitrex. Imitrex takes the edge off the pain, takes away the feeling of nausea and I am able to work on the computer, which I otherwise could not do with a migraine. The pills work most of the time but do not work if the headache was not a migraine. The drug used to have an effect quicker on me several years ago when it took care of my migraine within 30 minutes. Today it often takes me an hour to feel better after taking Imitrex.",positive
"completely relieved acid reflux and eliminated all symptons such as heartburn, cough, etc.
completely relieved acid reflux and eliminated all symptons such as heartburn, cough, etc.
completely relieved acid reflux and eliminated all symptons such as heartburn, cough, etc.",positive
"No benefits whatsoever, no change in bone density. I took one tablet on the same day each week with plenty of water first thing in the morning and stood upright for the next two hours as I prepared for work. The side effects were numerous and severe, and with continued use compounded themselves to the point that I feared I may not survive the year. My physician at the time refused to believe me and insisted that I continue taking the drug. I began intense research on my own and discovered I was not alone, and would have to make every attempt to save myself.",negative
"full long lasting erection up to two days after 20mg dosage,plus it works when you are ready, i must say it brings you back to your youth.",positive
Helped me easily get a good sleep. Possible reduction in IBS symptoms.,negative
